SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","All Students","11.7000","2761","407.6000","322","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.1000","2761","847.1000","307","32.9000","2761","439.5000","909"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","American Indian or Alaska Native","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Asian","52.7000","74","515.0000","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.0000","74","1041.9000","37","68.9000","74","526.9000","51"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Black, not of Hispanic origin","10.3000","2146","403.8000","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.8000","2146","841.3000","211","32.2000","2146","437.4000","691"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Economically Disadvantaged","9.6000","2094","399.5000","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.2000","2094","829.9000","192","28.3000","2094","430.4000","592"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","English Language Learners","7.5000","426","392.1000","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.0000","426","804.5000","30","21.1000","426","412.4000","90"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Female","12.5000","1555","411.8000","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12.0000","1555","860.3000","187","36.4000","1555","448.5000","566"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Foster Care","<=50%","13","360.0000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","13","768.5000","<3","<=50%","13","408.5000","<3"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Hispanic","10.1000","474","404.5000","48","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.7000","474","835.8000","46","29.5000","474","431.4000","140"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","Homeless","<=5%","72","380.4000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=5%","72","793.9000","<3","18.1000","72","413.5000","13"
