SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","All Students","90","309","279","2143","N/A","N/A","N/A","399","2422","2821","3.2","11.0","9.9","76.0","N/A","N/A","N/A","14.10","85.90","2075.6000000000000000","20.3000000000000000","N/A","2036","2151","2062.00","2072.00","2088.00"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Asian","10","22","*","<3","N/A","N/A","N/A","32","40","72","13.9","30.6","*","<=5%","N/A","N/A","N/A","44.40","55.60","2101.2000000000000000","20.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Asian","11","16","15","31","N/A","N/A","N/A","27","46","73","15.1","21.9","20.5","42.5","N/A","N/A","N/A","37.00","63.00","2093.4000000000000000","22.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","8","32","239","143","N/A","N/A","N/A","40","382","422","1.9","7.6","56.6","33.9","N/A","N/A","N/A","9.50","90.50","2078.2000000000000000","17.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","65","326","1347","637","N/A","N/A","N/A","391","1984","2375","2.7","13.7","56.7","26.8","N/A","N/A","N/A","16.50","83.50","2082.5000000000000000","19.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","<3","*","118","112","N/A","N/A","N/A","5","230","235","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2071.3000000000000000","13.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","45","236","1202","637","N/A","N/A","N/A","281","1839","2120","2.1","11.1","56.7","30.0","N/A","N/A","N/A","13.30","86.70","2080.3000000000000000","18.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","28","122","384","143","N/A","N/A","N/A","150","527","677","4.1","18.0","56.7","21.1","N/A","N/A","N/A","22.20","77.80","2086.6000000000000000","20.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Native Hawaiian or Other Pacific Islander","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Male","35","159","664","383","N/A","N/A","N/A","194","1047","1241","2.8","12.8","53.5","30.9","N/A","N/A","N/A","15.60","84.40","2081.0000000000000000","19.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","11","Social Studies","Female","38","199","922","397","N/A","N/A","N/A","237","1319","1556","2.4","12.8","59.3","25.5","N/A","N/A","N/A","15.20","84.80","2082.5000000000000000","18.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
