SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,TestingGroup,NumberAboveAverageGrowth,NumberAverageGrowth,NumberBelowAverageGrowth,PercentAboveAverage,PercentAverageGrowth,PercentBelowAverage,TotalIncluded,MeanSGP
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","06","English Language Arts","Hispanic","124","187","147","27.10","40.80","32.10","458","48.30"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","11","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","05","English Language Arts","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","11","English Language Arts","Not English Learners","598","783","646","29.50","38.60","31.90","2027","49.00"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","All Grades","Mathematics","American Indian or Alaska Native","11","< 10","< 10","47.80","26.10","26.10","23","61.00"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","08","English Language Arts","Hispanic","74","187","182","16.70","42.20","41.10","443","41.30"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","07","Mathematics","Economically Disadvantaged","901","935","719","35.30","36.60","28.10","2555","52.80"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","06","English Language Arts","Male","402","592","531","26.40","38.80","34.80","1525","47.10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","05","Mathematics","White, not of Hispanic origin","34","43","14","37.40","47.30","15.40","91","59.00"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","04","English Language Arts","White, not of Hispanic origin","19","25","39","22.90","30.10","47.00","83","41.90"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","08","Mathematics","Hispanic","111","172","164","24.80","38.50","36.70","447","45.20"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","11","Science","Economically Disadvantaged","< 10","14","14","22.20","38.90","38.90","36","43.50"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","All Grades","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","08","Science","Economically Disadvantaged","12","15","< 10","36.40","45.50","18.20","33","58.20"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","07","Mathematics","Not Migrant","1031","1038","786","36.10","36.40","27.50","2855","53.30"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","07","English Language Arts","Students with Disabilities","88","134","156","23.30","35.40","41.30","378","43.60"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","06","Mathematics","Students without Disabilities","878","954","775","33.70","36.60","29.70","2607","51.70"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","06","English Language Arts","Economically Disadvantaged","749","1083","913","27.30","39.50","33.30","2745","48.00"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","11","Mathematics","Not English Learners","500","721","817","24.50","35.40","40.10","2038","43.70"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","All Grades","English Language Arts","Two or More Races","10","19","19","20.80","39.60","39.60","48","44.30"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","04","Mathematics","Black, not of Hispanic origin","638","949","1021","24.50","36.40","39.10","2608","44.30"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","06","English Language Arts","White, not of Hispanic origin","12","29","29","17.10","41.40","41.40","70","40.10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","05","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00000","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","3","04","English Language Arts","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
