SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Students Without Disabilities","1573","2746","3909","7460","N/A","N/A","N/A","4319","11369","15688","10.0","17.5","24.9","47.6","N/A","N/A","N/A","27.50","72.50","2083.8000000000000000","25.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","All Students","1822","4802","7707","2932","N/A","N/A","N/A","6624","10639","17263","10.6","27.8","44.6","17.0","N/A","N/A","N/A","38.40","61.60","2094.7000000000000000","25.4000000000000000","N/A","2021","2166","2074.00","2090.00","2110.00"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Two or More Races","35","90","96","20","N/A","N/A","N/A","125","116","241","14.5","37.3","39.8","8.3","N/A","N/A","N/A","51.90","48.10","2102.0000000000000000","24.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Hispanic of Any Race","75","318","617","227","N/A","N/A","N/A","393","844","1237","6.1","25.7","49.9","18.4","N/A","N/A","N/A","31.80","68.20","2090.9000000000000000","22.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","American Indian or Alaska Native","8","18","24","8","N/A","N/A","N/A","26","32","58","13.8","31.0","41.4","13.8","N/A","N/A","N/A","44.80","55.20","2099.1000000000000000","26.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Asian","166","230","203","67","N/A","N/A","N/A","396","270","666","24.9","34.5","30.5","10.1","N/A","N/A","N/A","59.50","40.50","2108.0000000000000000","27.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Black or African American","100","972","3366","1700","N/A","N/A","N/A","1072","5066","6138","1.6","15.8","54.8","27.7","N/A","N/A","N/A","17.50","82.50","2082.2000000000000000","19.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Social Studies","Native Hawaiian or Other Pacific Islander","3","<3","4","4","N/A","N/A","N/A","4","8","12","<=50%","<=50%","<=50%","<=50%","N/A","N/A","N/A","<=50%",">=50%","2092.1000000000000000","34.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","American Indian or Alaska Native","6","12","20","20","N/A","N/A","N/A","18","40","58","10.3","20.7","34.5","34.5","N/A","N/A","N/A","31.00","69.00","2087.0000000000000000","24.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"16 - 17 School Year","M-STEP","N/A","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","11","Science","Asian","161","165","133","207","N/A","N/A","N/A","326","340","666","24.2","24.8","20.0","31.1","N/A","N/A","N/A","48.90","51.10","2095.6000000000000000","28.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
