SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","All Students","29.6000","17703","475.7000","5240","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.4000","17702","961.8000","4842","48.7000","17702","486.1000","8626"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","American Indian or Alaska Native","29.2000","48","463.5000","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.1000","48","946.3000","13","47.9000","48","482.7000","23"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Asian","63.9000","714","583.4000","456","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","60.2000","714","1145.9000","430","71.6000","714","562.5000","511"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Black, not of Hispanic origin","9.6000","6432","419.1000","620","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.1000","6432","858.5000","523","27.9000","6432","439.4000","1793"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Economically Disadvantaged","16.5000","9982","439.3000","1648","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.1000","9981","892.3000","1409","34.6000","9981","453.0000","3451"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","English Language Learners","9.8000","1527","420.3000","150","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5.8000","1526","843.1000","89","17.0000","1526","422.7000","260"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Female","28.0000","9019","471.3000","2521","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.3000","9019","961.4000","2373","51.0000","9019","490.0000","4603"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Foster Care","<=5%","66","388.8000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=5%","66","800.0000","<3","13.6000","66","411.2000","9"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Hispanic","22.2000","1385","459.6000","308","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.4000","1385","932.9000","282","43.9000","1385","473.2000","608"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Homeless","9.1000","132","397.1000","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.6000","132","823.3000","10","21.2000","132","426.1000","28"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Male","31.3000","8684","480.3000","2719","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28.4000","8683","962.2000","2469","46.3000","8683","482.0000","4023"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Military Connected","24.1000","29","455.2000","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.1000","29","949.3000","7","51.7000","29","494.1000","15"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Native Hawaiian or Other Pacific Islander","<=50%","14","429.3000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","14","855.7000","<3","<=50%","14","426.4000","3"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Not Economically Disadvantaged","46.5000","7721","522.8000","3592","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","44.5000","7721","1051.7000","3433","67.0000","7721","528.9000","5175"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Not English Language Learners","31.5000","16176","480.9000","5090","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.4000","16176","973.0000","4753","51.7000","16176","492.0000","8366"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Not Foster Care","29.7000","17637","476.0000","5237","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.4000","17636","962.4000","4840","48.9000","17636","486.3000","8617"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Not Homeless","29.8000","17571","476.3000","5228","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.5000","17570","962.8000","4832","48.9000","17570","486.5000","8598"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Not Migrant","29.6000","17703","475.7000","5240","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.4000","17702","961.8000","4842","48.7000","17702","486.1000","8626"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Not Military Connected","29.6000","17674","475.8000","5233","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","27.4000","17673","961.8000","4835","48.7000","17673","486.1000","8611"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Students with Disabilities","3.8000","1487","383.5000","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.2000","1487","790.8000","48","12.8000","1487","407.3000","191"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Students without IEP","32.0000","16216","484.2000","5183","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.6000","16215","977.5000","4794","52.0000","16215","493.3000","8435"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","Two or More Races","37.7000","276","501.3000","104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","35.9000","276","1012.9000","99","58.0000","276","511.6000","160"
"17 - 18 School Year","82","Wayne RESA","00000","All Districts","00000","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","White, not of Hispanic origin","42.3000","8834","510.1000","3737","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","39.6000","8833","1025.3000","3494","62.6000","8833","515.2000","5528"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","All Students","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Asian","<=50%","10","494.0000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","10","923.0000","<3","<=50%","10","429.0000","<3"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Black, not of Hispanic origin","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Economically Disadvantaged","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","English Language Learners","19.0000","42","438.8000","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.3000","42","859.5000","6","19.0000","42","420.7000","8"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Female","21.2000","33","446.4000","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15.2000","33","891.5000","5","30.3000","33","445.2000","10"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Hispanic","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Male","30.0000","30","461.7000","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.7000","30","896.3000","8","33.3000","30","434.7000","10"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Not English Language Learners","38.1000","21","483.3000","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","33.3000","21","962.4000","7","57.1000","21","479.0000","12"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Not Foster Care","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Not Homeless","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Not Migrant","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Not Military Connected","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Students with Disabilities","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","Students without IEP","27.1000","59","460.2000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.0000","59","904.6000","13","33.9000","59","444.4000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","00000","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","White, not of Hispanic origin","24.4000","45","445.8000","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.2000","45","884.7000","10","31.1000","45","438.9000","14"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","All Students","25.4000","63","453.7000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.6000","63","893.8000","13","31.7000","63","440.2000","20"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","Asian","<=50%","10","494.0000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","10","923.0000","<3","<=50%","10","429.0000","<3"
"17 - 18 School Year","82","Wayne RESA","63912","Oakland International Academy","02212","Oakland International Academy - High School","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","Black, not of Hispanic origin","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
