"cz","Name","Fraction_College_Graduates_in_2012-16"
"cz35202","Gunnison, CO",0.5097
"cz11304","Washington DC, DC & MD & VA",0.4937
"cz36303","Jackson, ID & WY",0.4926
"cz38402","Pullman, ID & WA",0.4895
"cz28704","Laramie, CO & WY",0.4704
"cz39301","Friday Harbor, WA",0.4678
"cz34402","Bozeman, MT",0.4424
"cz20500","Boston, MA",0.4414
"cz37800","San Francisco, CA",0.4336
"cz37500","San Jose, CA",0.4243
"cz28900","Denver, CO",0.4215
"cz20402","Nantucket, MA",0.4183
"cz23100","Madison, WI",0.4163
"cz1701","Raleigh, NC",0.4125
"cz28702","Glenwood Springs, CO",0.412
"cz31201","Austin, TX",0.4047
"cz21501","Minneapolis, MN & WI",0.4025
"cz26003","West Cook UT, MN",0.3998
"cz19600","Newark, NJ & NY",0.3978
"cz20403","Oak Bluffs, MA",0.3969
"cz20200","Burlington, VT",0.3944
"cz22100","Iowa City, IA",0.3902
"cz34109","Juneau, AK",0.3805
"cz9100","Atlanta, GA",0.3781
"cz20901","Bridgeport, CT",0.3757
"cz11302","Baltimore, MD",0.375
"cz34504","Missoula, MT",0.3739
"cz36000","Provo, UT",0.3733
"cz28703","Granby, CO",0.3725
"cz39400","Seattle, WA",0.3691
"cz26501","Brookings, SD",0.3689
"cz23400","Bloomington, IL",0.3669
"cz30401","Stillwater, OK",0.3666
"cz19400","New York, NY",0.3654
"cz38801","Portland, OR & WA",0.3641
"cz29601","Columbia, MO",0.3624
"cz24300","Chicago, IL",0.362
"cz27501","Des Moines, IA",0.3613
"cz20302","Claremont, NH & VT",0.3611
"cz19500","Toms River, NJ",0.3582
"cz34802","Santa Fe, NM",0.358
"cz34403","Helena, MT",0.3565
"cz28800","Fort Collins, CO",0.356
"cz20600","Manchester, ME & NH",0.3555
"cz17600","Charlottesville, VA",0.3552
"cz36401","Steamboat Springs, CO",0.3539
"cz38000","San Diego, CA",0.3527
"cz15900","Columbus, OH",0.3483
"cz11700","Lansing, MI",0.3449
"cz29502","Kansas City, KS & MO",0.344
"cz29204","Topeka, KS",0.3437
"cz26801","Fargo, MN & ND",0.3431
"cz2400","Richmond, VA",0.3425
"cz28701","Salida, CO",0.3413
"cz28401","Colorado Springs, CO",0.3412
"cz28101","Lincoln, NE",0.341
"cz5600","Nashville, TN",0.3402
"cz19700","Philadelphia, NJ & PA",0.3389
"cz900","Charlotte, NC & SC",0.3388
"cz33100","Dallas, TX",0.3361
"cz21701","Rochester, MN",0.3354
"cz23500","Decatur, IL",0.3337
"cz19800","Wilmington, DE & MD",0.3331
"cz28202","Omaha, IA & NE",0.3327
"cz39302","Bellingham, WA",0.3315
"cz24701","St. Louis, IL & MO",0.3311
"cz11301","Fredericksburg, VA",0.331
"cz20902","Pittsfield, MA & VT",0.3297
"cz18600","Albany, NY",0.3282
"cz14200","Indianapolis, IN",0.3277
"cz34701","Honolulu, HI",0.3277
"cz20700","Keene, NH & VT",0.3277
"cz9800","Auburn, AL",0.3262
"cz12901","Lexington-Fayette, KY",0.325
"cz38200","Santa Barbara, CA",0.3247
"cz31800","College Station, TX",0.3247
"cz26503","Sioux Falls, SD",0.3244
"cz29203","Manhattan, KS",0.3244
"cz9301","Winder, GA",0.3203
"cz1203","Asheville, NC",0.32
"cz18100","Elmira, NY & PA",0.32
"cz16300","Pittsburgh, PA",0.3183
"cz8202","Charleston, SC",0.3181
"cz27011","Pierre, SD",0.318
"cz31404","Alpine, TX",0.3175
"cz12701","Cincinnati, KY & OH",0.3169
"cz7900","Gainesville, FL",0.3168
"cz34115","Fairbanks, AK",0.315
"cz29006","Hays, KS",0.3148
"cz36100","Salt Lake City, UT",0.3147
"cz24100","Milwaukee, WI",0.3137
"cz20100","Portland, ME",0.3134
"cz8800","Savannah, GA & SC",0.3133
"cz20800","Springfield, MA",0.3129
"cz26502","Madison, SD",0.3116
"cz18000","Buffalo, NY",0.3071
"cz34401","Dillon, MT",0.3071
"cz9900","Tallahassee, FL",0.3068
"cz6000","Huntsville, AL & TN",0.3068
"cz28608","Kearney, NE",0.3059
"cz8100","Columbia, SC",0.3056
"cz26704","Grand Forks, MN & ND",0.3047
"cz20401","Providence, MA & RI",0.3047
"cz36200","Logan, ID & UT",0.3046
"cz25402","Murray, KY",0.3041
"cz19300","Poughkeepsie, NY",0.3024
"cz16600","Roanoke, VA & WV",0.3022
"cz21002","Houghton, MI",0.3
"cz1001","Boone, NC & TN",0.2999
"cz7100","Port St. Lucie, FL",0.2981
"cz26201","Bismarck, ND",0.2979
"cz39203","Bend, OR",0.2957
"cz34102","Anchorage, AK",0.2949
"cz15200","Cleveland, OH",0.2945
"cz2500","Newport News, VA",0.2944
"cz32000","Houston, TX",0.2944
"cz37700","Santa Rosa, CA",0.2942
"cz14600","Bloomington, IN",0.2933
"cz22200","Cedar Rapids, IA",0.2931
"cz12301","Traverse City, MI",0.2928
"cz35801","Boise City, ID",0.2924
"cz11600","Detroit, MI",0.2922
"cz7400","Orlando, FL",0.292
"cz34901","Albuquerque, NM",0.2917
"cz24802","Springfield, IL",0.2916
"cz35905","Loa, UT",0.2912
"cz10502","Starkville, MS",0.29
"cz2000","Virginia Beach, NC & VA",0.289
"cz35803","McCall, ID",0.2886
"cz10700","Birmingham, AL",0.2878
"cz16100","State College, PA",0.2874
"cz7000","Miami, FL",0.2872
"cz35001","Phoenix, AZ",0.2871
"cz34110","Sitka, AK",0.2858
"cz29301","Wichita, KS",0.2848
"cz35100","Tucson, AZ",0.2847
"cz35401","Flagstaff, AZ & UT",0.2846
"cz34308","Billings, MT",0.2833
"cz34204","Lewistown, MT",0.2833
"cz31303","Kerrville, TX",0.2829
"cz39303","Port Angeles, WA",0.2826
"cz29501","Leavenworth, KS",0.2826
"cz34103","Valdez, AK",0.282
"cz38300","Los Angeles, AZ & CA",0.282
"cz7200","Cape Coral, FL",0.2814
"cz37400","Sacramento, CA & NV",0.2813
"cz34702","Kapaa, HI",0.281
"cz7600","Jacksonville, FL & GA",0.2803
"cz34301","Cody, WY",0.2801
"cz19902","Easton, MD",0.28
"cz4200","Little Rock, AR",0.2797
"cz6700","Tampa, FL",0.2794
"cz33000","Fort Worth, TX",0.2789
"cz302","Knoxville, TN",0.2788
"cz17700","Syracuse, NY",0.2785
"cz33803","Oklahoma City, OK",0.2783
"cz36700","Eureka, CA",0.2782
"cz30300","Fayetteville, AR & MO & OK",0.2777
"cz1500","Wilmington, NC",0.2776
"cz21301","Mankato, MN",0.2771
"cz3003","Jackson, MS",0.2766
"cz12100","Kalamazoo, MI",0.2765
"cz6900","Sarasota, FL",0.2762
"cz20001","Bangor, ME",0.2747
"cz35901","St. George, UT",0.2743
"cz35600","Hilo, HI",0.2742
"cz38901","Eugene, OR",0.2728
"cz13101","Louisville, IN & KY",0.2726
"cz27601","Rapid City, SD",0.272
"cz29302","Newton, KS",0.272
"cz35903","Moab, UT",0.2715
"cz7300","Palm Bay, FL",0.2708
"cz12200","Grand Rapids, MI",0.2707
"cz3300","New Orleans, LA",0.2696
"cz37903","Mammoth Lakes, CA",0.2694
"cz26002","Duluth, MN & WI",0.2693
"cz16702","Morgantown, WV",0.2689
"cz27702","Cheyenne, NE & WY",0.2677
"cz12302","Petoskey, MI",0.2666
"cz34503","Kalispell, MT",0.2665
"cz401","Winston-Salem, NC",0.2665
"cz4003","Ruston, LA",0.2665
"cz19000","Allentown, PA",0.2663
"cz32603","Seymour, TX",0.2659
"cz10900","Pensacola, FL",0.2652
"cz38601","Spokane, ID & WA",0.2651
"cz17502","Winchester, VA & WV",0.2651
"cz11101","Montgomery, AL",0.2648
"cz8300","Greenville, SC",0.2647
"cz3500","Baton Rouge, LA",0.2646
"cz17900","Union, NY & PA",0.2621
"cz5202","Memphis, MS & TN",0.2615
"cz35201","Grand Junction, CO",0.2614
"cz22601","Green Bay, WI",0.2614
"cz26605","Aberdeen, SD",0.2613
"cz36301","Pocatello, ID",0.2602
"cz31301","San Antonio, TX",0.2594
"cz34203","Great Falls, MT",0.2582
"cz34108","Kodiak, AK",0.2575
"cz21302","Owatonna, MN",0.2573
"cz26304","Minot, ND",0.2572
"cz2900","Hattiesburg, MS",0.2559
"cz2300","Lynchburg, VA",0.2557
"cz29402","Emporia, KS",0.2555
"cz34304","Sheridan, MT & WY",0.2551
"cz30802","Lubbock, TX",0.2546
"cz34703","Kahului, HI",0.2544
"cz19200","Harrisburg, PA",0.2543
"cz23801","Davenport, IA & IL",0.2539
"cz22800","Eau Claire, MN & WI",0.2539
"cz37604","Reno, NV",0.2535
"cz22900","La Crosse, MN & WI",0.2528
"cz1202","Sylva, NC",0.2526
"cz30402","Tulsa, OK",0.2526
"cz22001","Waterloo, IA",0.2518
"cz31900","Pearland, TX",0.2517
"cz28601","Oberlin, KS",0.2515
"cz39202","Enterprise, OR",0.2515
"cz11401","Marquette, MI",0.2513
"cz17200","Harrisonburg, VA & WV",0.2507
"cz29505","Polk, MO",0.2507
"cz22500","Oshkosh, WI",0.2495
"cz21400","St. Cloud, MN",0.2494
"cz27902","York, NE",0.2485
"cz10801","Tuscaloosa, AL",0.2481
"cz28604","Colby, KS",0.2475
"cz27006","Mitchell, SD",0.2473
"cz32702","Stephenville, TX",0.2472
"cz14500","Lafayette, IL & IN",0.2467
"cz31003","Scott City, KS",0.2467
"cz29007","Township 11, KS",0.2457
"cz17300","Staunton, VA",0.2451
"cz21004","Rhinelander, WI",0.2444
"cz27201","Sioux Center, IA",0.244
"cz29700","Springfield, MO",0.2431
"cz23200","Dubuque, IA & IL",0.2428
"cz26901","Fergus Falls, MN",0.2425
"cz23900","Peoria, IL",0.2423
"cz29103","Beloit, KS",0.2413
"cz38802","The Dalles, OR & WA",0.2412
"cz500","Greensboro, NC & VA",0.2407
"cz6401","Chattanooga, GA & TN",0.2406
"cz13600","South Bend, IN & MI",0.2403
"cz19901","Dover, DE & MD",0.2401
"cz26803","Jamestown, ND",0.2392
"cz26410","Dickinson, ND",0.2389
"cz12501","Dayton, OH",0.2386
"cz31202","Burnet, TX",0.2384
"cz35300","Farmington, CO & NM",0.2381
"cz8401","Aiken, GA & SC",0.238
"cz29001","Pratt, KS",0.2379
"cz26405","Scobey, MT",0.2373
"cz24000","Kenosha, WI",0.2372
"cz13501","Toledo, MI & OH",0.2367
"cz26401","Ekalaka, MT & SD",0.2366
"cz17800","Oneonta, NY",0.2362
"cz26701","Bemidji, MN",0.2352
"cz27102","Marshall, MN",0.2351
"cz1201","Franklin, GA & NC",0.2336
"cz36800","Medford, OR",0.2333
"cz26403","Bowman, ND",0.2332
"cz35402","Cortez, CO & UT",0.2323
"cz24900","Edwardsville, IL",0.232
"cz18800","Scranton, PA",0.2319
"cz39201","La Grande, OR",0.2318
"cz31304","Mason, TX",0.2316
"cz14100","Fort Wayne, IN",0.2313
"cz5401","Bowling Green, KY",0.2313
"cz34805","Alamosa, CO",0.231
"cz24500","Rolla, MO",0.2308
"cz11001","Mobile, AL",0.2299
"cz33801","Elk City, OK",0.2297
"cz4402","Richmond, KY",0.2295
"cz36302","Salmon, ID",0.2294
"cz26107","Kirksville, MO",0.2291
"cz34404","Butte-Silver Bow, MT",0.229
"cz27301","Spencer, IA",0.229
"cz16500","Erie, NY & PA",0.2287
"cz27005","Yankton, NE & SD",0.2286
"cz15800","Athens, OH & WV",0.2276
"cz32601","Wichita Falls, TX",0.2274
"cz21001","Ashland, WI",0.2273
"cz39100","Kennewick, OR & WA",0.2269
"cz4702","Clarksdale, MS",0.2267
"cz29104","Salina, KS",0.2264
"cz19100","Reading, PA",0.2257
"cz23301","Charleston, IL",0.2251
"cz28606","Wano, KS & NE",0.2243
"cz27010","Miller, SD",0.2234
"cz9701","Columbus, AL & GA",0.2233
"cz38502","Wenatchee, WA",0.2231
"cz32301","San Angelo, TX",0.2219
